		Year of publication																																		
Azerbaijani	Estonian		2			1		1	1	1			3																			1				
Azerbaijani	Farsi, Western; Persian			2	3	4	2		2					2	1								5					9								
Azerbaijani	French				1		1	1		1	1	1			1												1					1				
Azerbaijani	Georgian		1	3	3		3	4					2	1																						
Azerbaijani	German		2	2	1	1		2	1			1	4		3	2						1	2				1		1	1	1	2				
Azerbaijani	Hindi						1	1				1																								
Azerbaijani	Hungarian			1	1						1		3																							
Azerbaijani	Italian											1																								
Azerbaijani	Japanese																	1																		
Azerbaijani	Kara-Kalpak		1																																	
Azerbaijani	Kazakh						2			1	3	1	1								1															
Azerbaijani	Kirghiz		1			1	1				1																									
Azerbaijani	Kumyk		1																																	
Azerbaijani	Latvian				1		1						1																							
Azerbaijani	Lithuanian			2	1		1		1		1		1																							
Azerbaijani	Moldavian			2		1	1	1	1			1		1									1	1												
Azerbaijani	Mongolian, Halh											1																	1							
Azerbaijani	Multiple languages									2		1																								
Azerbaijani	Norwegian, Bokmål																													1						
Azerbaijani	Polish		1		2	3		1																							2					
Azerbaijani	Romanian																								1						1	1				
Azerbaijani	Russian		27	24	37	39	41	44	41	41	37	35	29	22	10	2		3										1		2	3					
Azerbaijani	Slovak				1	3				1																										
Azerbaijani	Spanish					1																							1			1				
Azerbaijani	Tajik		1				1	1		2	1	1																								
Azerbaijani	Turkish				1	1								4	6	3	1	1						6												
Azerbaijani	Turkmen			1	1	3		1				1		1	1																					
Azerbaijani	Ukrainian		2	5	3	3	3	2	1	2	2	1	2		2				1																	
Azerbaijani	Urdu						1			1																										
Azerbaijani	Uzbek		9	1	1	1				1	1			1	2																					
Azhe	Chinese																													2						
Baka (Cameroon)	French																	1		1			1													
Baluchi	English										1																		1							
Baluchi	German											1																								
Baluchi	Pushto										1																									
Baluchi	Urdu										1																									
Bambara	Dutch																					1														
Bambara	French	1	1		1			1	1		1						2		2	2	5		2	2	1	1			1		1					
Bambara	German											1											1									1				
Bandjalang	English																													1						
Baniwa	Portuguese															1																				
Bantu languages, other	English																												1							
Bantu languages, other	Spanish																															1				
Baoulé	English																												1							
Basa (Cameroon)	French																												1		1					
Bashkir	Azerbaijani					1								2																						
Bashkir	Bulgarian											1																								
Bashkir	Chuvash															1																				
Bashkir	English																												1							
Bashkir	Estonian										1																									
Bashkir	Georgian												1																							
Bashkir	Hungarian				2																															
Bashkir	Kara-Kalpak												1																							
Bashkir	Kazakh		1		1		2	1		1		2									1															
Bashkir	Kirghiz				1	1						1																								
Bashkir	Latvian				1																															
Bashkir	Lithuanian				1					1																										
Bashkir	Macedonian				1																															
Bashkir	Moldavian			1						1																										
Bashkir	Multiple languages												1																							
Bashkir	Polish											1																								
Bashkir	Russian		24	17	20	20	21	24	23	22	21	20	16	10	5	3	10	5	10	7			3					7	7	3	3					
Bashkir	Slovak					2						2																								
Bashkir	Tajik											1																								
Bashkir	Tamil				1																															
Bashkir	Tatar				1							1	1	3				2	2	9																
Bashkir	Turkmen				1					1	1			1																						
Bashkir	Tuvinian											1																								
Bashkir	Ukrainian		2	1					2				2																							
Bashkir	Uzbek		1		1																															
Bashkir	Vietnamese											1		1																						
Basque	Albanian																		1																	
Basque	Aragonese																					1	1	3	3	1	1									
Basque	Armenian																						1			1					1					
Basque	Asturian; Bable																		1			1	1	3	2	1	2	1								
Basque	Breton																1			1																
Basque	Catalan						1	3	1		2		1	4	1		5	5	5	3	4	9	10	8	13	4	7	5	8	7	4	7				
Basque	Catalan, Valencian																							2	1											
Basque	Danish																				1	1				1					1					
Basque	Dutch												1			1		1	1						1				1							
Basque	English													1		2	6	1	1	4		2	1	9	8	13	12	11	12	5	7	6				
Basque	Finnish																	2	1				1		1				1							
Basque	French		2					1							4	3	5	3	1	3	3	3	3	6	3	2	5	1	1	4	4	1				
Basque	Gaelic (Scots)																								1											
Basque	Gallegan						1		2				1	1	1		1		1	2	1	1	2	7	3	1	3	6	4	2	4	4				
Basque	Gascon, Aranese								1																											
Basque	German			1		1								1	2				2		2					1	1		1	2	3	1				
Basque	Greek, Modern (1453-)												1				1		1																	
Basque	Hebrew																										1									
Basque	Hungarian																													1						
Basque	Italian																1		1								2	1								
Basque	Japanese																	1										2								
Basque	Latin																					1														
Basque	Multiple languages																	2	2		1		2	1												
Basque	Not Supplied																								1											
Basque	Polish															1									1											
Basque	Romanian																												1							
Basque	Slovenian																					1														
